;ID;ocupacao;estadoCivil;educacao;creditoImob;emprestimo
0;e0bdea26-ac80-482e-90a7-9accc402e3ef;operario;married;fundamental;0;0
1;869221fb-841d-4e45-9c90-c3b96a3e964e;empreendedor;married;graduacao;0;0
2;946b21f9-30c8-41af-a892-3154b86ff73d;Autonomo;married;primario incompleto;0;0
3;27b04d91-a83a-4d27-a1f4-c5032dcf21df;administrador;married;graduacao;1;0
4;760d6808-c51c-40c7-b442-5c18e10201e6;Autonomo;divorced;graduacao;0;0
5;33d9e08c-be23-445f-803a-79bd90ac6800;administrador;single;graduacao;0;0
6;f2d0570c-54a7-4b2f-9662-ca92d58b0ba9;estudante;single;fundamental;0;0
7;ad8d2b00-f541-4539-b2c9-5c66a43294bc;operario;married;primario incompleto;1;0
8;0fc56114-60c8-4232-9017-e7fdebc53e84;operario;married;primario incompleto;0;0
9;0f3ddcb8-0acd-48bf-ae9d-3131a95aedc9;administrador;single;medio;1;0
10;6c88382b-aa43-4f4f-8461-d7c2f155a986;servicos;divorced;medio;1;0
11;222136df-7cac-4eca-99b7-be965f0c8ea7;tecnico;married;graduacao;1;0
12;1b72058a-1eb9-4d72-a872-6fd2e99c1915;aposentado;single;profissionalizante;1;0
13;5cc44ad3-5f32-47c4-abbe-097345e2aadc;gestão de empresa;married;graduacao;0;1
14;2f5c6cf5-51b0-40eb-a872-145d14079936;operario;married;fundamental;0;0
15;097ff668-ccdb-42b8-969b-6f7a89d2881a;operario;married;fundamental;1;0
16;add2af9b-40de-4d4e-8438-aea34421b64c;administrador;divorced;graduacao;1;0
17;77216369-e36f-468a-9161-3109e5e8c436;tecnico;single;profissionalizante;0;0
18;2e7b157b-a3a5-41e9-b528-7e412c0e86be;servicos;single;primario incompleto;1;0
19;72a167bf-e532-4592-84ae-d5ff27a9e903;administrador;single;graduacao;0;1
20;e1fae279-c54e-4d3f-a4d4-cba813efbd58;servicos;married;desconhecido;0;0
21;7993f5a6-7c34-46b1-8d6e-20597b1c9565;operario;married;primario incompleto;0;0
22;c5a45a1a-ad90-4726-b0e3-d57989431bc5;administrador;divorced;primario;0;0
23;bb1bacec-63c9-4be1-bec0-df234671a340;tecnico;single;desconhecido;1;0
24;eb5bccab-9843-4059-8cec-594e64efa3f0;desempregado;divorced;graduacao;0;0
25;b55d28fe-e11c-4410-b3ab-3895b692fa7a;operario;single;primario incompleto;1;0
26;87eddeb0-971d-4b93-8357-23d624e8bda3;servicos;married;medio;0;0
27;7918f3f0-dc80-4fe9-a539-75a396c41cab;operario;divorced;medio;1;1
28;fd4cd150-0636-477d-928d-348b4ad2c7df;administrador;divorced;graduacao;1;1
29;7f0123ad-e5ab-498d-9c94-dfba313eaf46;tecnico;single;profissionalizante;1;0
30;e8215131-393f-4d75-8a3e-1eba9e4aaa10;tecnico;single;medio;0;0
31;da50bd2a-68d5-4fef-a4a5-794287744f73;Autonomo;married;primario incompleto;0;0
32;bc3b7ce0-f2b9-4efa-bd6a-29185b828060;administrador;single;graduacao;1;0
33;671260bb-0b41-43cb-9241-b80d330ea470;aposentado;divorced;profissionalizante;1;1
34;a1440dc8-3352-4c8c-8ee9-51dab1398101;Autonomo;married;primario incompleto;1;1
35;1957c40a-78a6-4cf2-9802-94e3c1fc848e;administrador;single;graduacao;0;0
36;92b896a9-c22a-40a9-b122-2029743e696e;administrador;married;graduacao;0;0
37;6e1be2cf-92f1-450b-b166-733091edf281;aposentado;married;graduacao;0;0
38;edf96b1f-5c23-43f9-b460-1fab0c4cd5f8;operario;married;fundamental;1;0
39;afcaaa0d-30b3-474c-bc31-50a58fdd361d;administrador;married;medio;0;0
40;6711a941-ccf6-4ebe-9b00-f991082a091a;operario;married;primario;0;0
41;10847cf2-6f10-4e0d-afd5-e13feb25d133;tecnico;married;graduacao;0;0
42;d4b299b7-e6c1-454d-a303-3dd0d9bca303;tecnico;divorced;profissionalizante;0;0
43;056940cb-a67b-424b-ac43-8b31c1bc5629;Desconhecido;married;desconhecido;1;0
44;c4054406-a338-47aa-970b-a96c65321b5f;administrador;married;graduacao;0;0
45;841d989e-1670-4032-b798-fa86fb4eb1c4;servicos;divorced;medio;0;1
46;b06e23e3-2ede-49bb-bc68-9c866ed4b303;tecnico;single;profissionalizante;1;0
47;eebd694e-a998-40fd-b872-423b35566902;aposentado;married;primario incompleto;1;1
