,pib,renda,renda_per_capita,indice_consumidor,indice_produtor,taxa_cambio,taxa_desemprego,taxa_emprego,populacao_economicamente_ativa,rendimento_medio_trabalhadores,exportacoes,importacoes,saldo_comercial,cobertura_comercial,divida_publica,despesa_fiscal,taxa_alfabetizacao,taxa_matricula_educacao,gastos_educacao,inflacao
2020-01-01,1476107292036.59,1445311287350.09,7910,172.774291252888,172.774291252888,5.15517878751281,13.93,51.324,100641930,8.7,16.4535520041337,15.8485265369506,0.6050254671831024,0.605025467183085,98.7098819546545,38.4811610303133,,,,3.21176803803379
2019-01-01,1873288159000.64,1822994351083.46,9220,167.397860280061,167.397860280061,3.9444710972507,12.05,56.569,107415119,7.3,14.1229191903622,14.7673386789326,-0.6444194885703993,-0.644419488570441,92.5652531882782,34.7874528376371,,,5.96346998214722,3.73297621216894
2018-01-01,1916933708404.16,1863630803630.87,9140,161.373814183906,161.373814183906,3.65382536145755,12.46,55.903,105437485,7.3,14.6349994952986,14.241203879248,0.39379561605059976,0.393795616050562,86.6078841199146,35.453999893748,93.2275009155273,,6.08851003646851,3.66485028376724
2017-01-01,2063514688761.67,2024937157760.95,8670,155.668786230018,155.668786230018,3.19138944630048,12.93,55.542,104079618,7.4,12.5189678700669,11.8007665046081,0.7182013654587998,0.718201365458762,83.6692026509366,36.2476538726346,93.0758209228516,97.55117,6.32047986984253,3.44637335032672
2016-01-01,1795693265824.27,1757596906019.34,8890,150.482594206408,150.482594206408,3.49131342157271,11.74,56.027,102278733,7.4,12.4666790443888,12.0670030360511,0.3996760083376998,0.399676008337736,73.4188038096758,36.4916011293298,92.8084411621094,97.20202,6.314040184021,8.73914352329393
2015-01-01,1802211999555.59,1768299908819.13,10160,138.388614560103,138.388614560103,3.32690438276879,8.56,58.247,101299233,7.7,12.9001914177405,14.0534345182709,-1.1532431005303998,-1.15324310053042,67.5375540277116,36.924419825549,92.0478973388672,96.85231,6.24105978012085,9.02990102416129
2014-01-01,2456043766063.5,2410277002821.39,12080,126.927212865611,126.927212865611,2.35295196276669,6.76,59.217,99628945,7.7,11.0119428225147,13.6734629958056,-2.661520173290901,-2.66152017329091,58.4572711058609,32.0693994463665,91.7294311523438,97.4362,5.94848012924194,6.32904015516142
2013-01-01,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2012-01-01,2465228293862.62,2403719887800.63,12270,112.398549260784,112.398549260784,1.95306861112487,7.25,59.165,97188186,7.4,11.8775390673678,13.2367345454394,-1.3591954780715998,-1.3591954780716,59.8494899958247,30.7940989613241,91.3378524780273,98.54993,5.85510015487671,5.40349914037009
2011-01-01,2616156606734.51,2548929316525.27,11040,106.636449622131,106.636449622131,1.67282875525659,7.58,58.477,94948394,7.5,11.5825126759958,12.3518925016143,-0.7693798256185005,-0.769379825618512,59.3416583014604,31.3064734506666,91.4112396240234,95.69718,5.73741006851196,6.63644962213085
2010-01-01,2208838108593.19,2140606612858.37,9610,100.0,100.0,1.75922671058718,8.034,59.362,95367508,,10.8655847746965,11.9065933373084,-1.0410085626119,-1.04100856261196,61.3187804611479,30.7014530840445,90.3791809082031,,5.64879989624023,5.03872690108066
2009-01-01,1666996294324.76,1630109870650.92,8300,95.2029817480311,95.2029817480311,1.99942817314426,9.42,59.604,95703669,7.2,10.851371134098,11.2546044676086,-0.40323333351059887,-0.403233333510611,,,90.298210144043,96.58508,5.46355009078979,4.88803479876804
2008-01-01,1695855391816.48,1654272376329.23,7590,90.7662937251917,90.7662937251917,1.83376666666667,8.27,60.196,93935308,7.1,13.5340005124035,13.7235689072917,-0.18956839488819988,-0.189568394888169,,,90.03662109375,98.53831,5.26883983612061,5.67859390284171
2007-01-01,1397114247287.58,1367438369215.1,6170,85.8890058743968,85.8890058743968,1.94705833333333,9.28,59.733,92730992,6.9,13.327675103099,11.9649362705808,1.3627388325182004,1.36273883251816,,,90.0093688964844,92.47411,4.97425985336304,3.64127299102654
